student_id,subject,studytime,study_time_category,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,dalc,walc,health,absences,attendance_rate,g1,g2,g3
STU-7081F9F9,Mathematics,2,2 to 5 hours,0,yes,no,no,no,yes,yes,no,no,4,3,4,1,1,3,6,93.55,5,6,6
STU-456C1019,Mathematics,2,2 to 5 hours,0,no,yes,no,no,no,yes,yes,no,5,3,3,1,1,3,4,95.7,5,5,6
STU-2E1D48C5,Mathematics,2,2 to 5 hours,3,yes,no,yes,no,yes,yes,yes,no,4,3,2,2,3,3,10,89.25,7,8,10
STU-7B84202E,Mathematics,3,5 to 10 hours,0,no,yes,yes,yes,yes,yes,yes,yes,3,2,2,1,1,5,2,97.85,15,14,15
STU-8F44186E,Mathematics,2,2 to 5 hours,0,no,yes,yes,no,yes,yes,no,no,4,3,2,1,2,5,4,95.7,6,10,10
STU-E3F7485F,Mathematics,2,2 to 5 hours,0,no,yes,yes,yes,yes,yes,yes,no,5,4,2,1,2,5,10,89.25,15,15,15
STU-48BF80C7,Mathematics,2,2 to 5 hours,0,no,no,no,no,yes,yes,yes,no,4,4,4,1,1,3,0,100.0,12,12,11
STU-0D817C3D,Mathematics,2,2 to 5 hours,0,yes,yes,no,no,yes,yes,no,no,4,1,4,1,1,1,6,93.55,6,5,6
STU-22A4FBE2,Mathematics,2,2 to 5 hours,0,no,yes,yes,no,yes,yes,yes,no,4,2,2,1,1,1,0,100.0,16,18,19
STU-15652EDE,Mathematics,2,2 to 5 hours,0,no,yes,yes,yes,yes,yes,yes,no,5,5,1,1,1,5,0,100.0,14,15,15
STU-39585AE6,Mathematics,2,2 to 5 hours,0,no,yes,yes,no,yes,yes,yes,no,3,3,3,1,2,2,0,100.0,10,8,9
STU-1F46ED13,Mathematics,3,5 to 10 hours,0,no,yes,no,yes,yes,yes,yes,no,5,2,2,1,1,4,4,95.7,10,12,12
STU-73E7FA9E,Mathematics,1,<2 hours,0,no,yes,yes,yes,yes,yes,yes,no,4,3,3,1,3,5,2,97.85,14,14,14
STU-5202D937,Mathematics,2,2 to 5 hours,0,no,yes,yes,no,yes,yes,yes,no,5,4,3,1,2,3,2,97.85,10,10,11
STU-68C122A3,Mathematics,3,5 to 10 hours,0,no,yes,no,no,yes,yes,yes,yes,4,5,2,1,1,3,0,100.0,14,16,16
STU-F0AAADE2,Mathematics,1,<2 hours,0,no,yes,no,no,yes,yes,yes,no,4,4,4,1,2,2,4,95.7,14,14,14
STU-F25656AE,Mathematics,3,5 to 10 hours,0,no,yes,yes,yes,yes,yes,yes,no,3,2,3,1,2,2,6,93.55,13,14,14
STU-9EA47A4E,Mathematics,2,2 to 5 hours,0,yes,yes,no,yes,yes,yes,no,no,5,3,2,1,1,4,4,95.7,8,10,10
STU-503B3244,Mathematics,1,<2 hours,3,no,yes,no,yes,yes,yes,yes,no,5,5,5,2,4,5,16,82.8,6,5,5
STU-419D39B0,Mathematics,1,<2 hours,0,no,no,yes,yes,yes,yes,yes,no,3,1,3,1,3,5,4,95.7,8,10,10
STU-114E9CD1,Mathematics,2,2 to 5 hours,0,no,no,no,no,yes,yes,yes,no,4,4,1,1,1,1,0,100.0,13,14,15
STU-9D0FB92A,Mathematics,1,<2 hours,0,no,yes,yes,no,yes,yes,yes,no,5,4,2,1,1,5,0,100.0,12,15,15
STU-C936C263,Mathematics,2,2 to 5 hours,0,no,no,no,yes,yes,yes,yes,no,4,5,1,1,3,5,2,97.85,15,15,16
STU-AB078B4C,Mathematics,2,2 to 5 hours,0,no,yes,no,yes,yes,yes,yes,no,5,4,4,2,4,5,0,100.0,13,13,12
STU-5DC4E551,Mathematics,3,5 to 10 hours,0,yes,yes,yes,yes,yes,yes,yes,no,4,3,2,1,1,5,2,97.85,10,9,8
STU-719CD4A4,Mathematics,1,<2 hours,2,no,yes,yes,no,no,yes,yes,no,1,2,2,1,3,5,14,84.95,6,9,8
STU-6D322426,Mathematics,1,<2 hours,0,no,yes,yes,no,yes,yes,yes,no,4,2,2,1,2,5,2,97.85,12,12,11
STU-4595E9E2,Mathematics,1,<2 hours,0,no,no,yes,no,yes,yes,yes,no,2,2,4,2,4,1,4,95.7,15,16,15
STU-09EA8E11,Mathematics,2,2 to 5 hours,0,yes,yes,no,yes,yes,yes,yes,no,5,3,3,1,1,5,4,95.7,11,11,11
STU-D1F6A181,Mathematics,2,2 to 5 hours,0,no,yes,yes,yes,yes,yes,yes,yes,4,4,5,5,5,5,16,82.8,10,12,11
STU-007A4610,Mathematics,2,2 to 5 hours,0,no,yes,yes,no,no,yes,yes,no,5,4,2,3,4,5,0,100.0,9,11,12
STU-B6B62C92,Mathematics,2,2 to 5 hours,0,no,yes,no,yes,yes,yes,yes,no,4,3,1,1,1,5,0,100.0,17,16,17
STU-168BC7D4,Mathematics,2,2 to 5 hours,0,no,yes,no,yes,yes,yes,yes,yes,4,5,2,1,1,5,0,100.0,17,16,16
STU-232FC95D,Mathematics,2,2 to 5 hours,0,no,no,no,yes,no,yes,yes,no,5,3,2,1,1,2,0,100.0,8,10,12
STU-0F7F1639,Mathematics,1,<2 hours,0,no,yes,yes,no,no,yes,yes,no,5,4,3,1,1,5,0,100.0,12,14,15
STU-346D1ED8,Mathematics,1,<2 hours,0,no,yes,no,yes,yes,yes,no,no,3,5,1,1,1,5,0,100.0,8,7,6
STU-54B1B380,Mathematics,3,5 to 10 hours,0,no,yes,no,yes,yes,yes,yes,no,5,4,3,1,1,4,2,97.85,15,16,18
STU-6FAAC800,Mathematics,3,5 to 10 hours,0,no,yes,no,yes,yes,yes,yes,yes,2,4,3,1,1,5,7,92.47,15,16,15
STU-9F641579,Mathematics,3,5 to 10 hours,0,yes,yes,yes,yes,yes,yes,yes,no,4,3,2,1,1,5,2,97.85,12,12,11
STU-5FDCA47D,Mathematics,1,<2 hours,0,yes,yes,yes,yes,yes,yes,no,no,4,3,1,1,1,2,8,91.4,14,13,13
STU-7615AB39,Mathematics,2,2 to 5 hours,1,no,yes,no,yes,no,yes,yes,yes,3,3,3,1,2,3,25,73.12,7,10,11
STU-7D7B1066,Mathematics,1,<2 hours,0,no,yes,no,no,no,yes,yes,yes,5,4,3,2,4,5,8,91.4,12,12,12
STU-A563A07E,Mathematics,2,2 to 5 hours,0,no,yes,no,yes,yes,yes,yes,no,4,3,3,1,1,5,2,97.85,19,18,18
STU-98DBE181,Mathematics,1,<2 hours,0,yes,yes,no,no,yes,yes,yes,no,5,4,1,1,1,1,0,100.0,8,8,11
STU-9FE78E02,Mathematics,2,2 to 5 hours,1,yes,no,no,yes,yes,yes,yes,no,4,3,3,2,2,5,14,84.95,10,10,9
STU-BD00A41C,Mathematics,2,2 to 5 hours,0,yes,yes,yes,yes,yes,yes,yes,yes,5,2,2,1,1,5,8,91.4,8,8,6
STU-E1BA4C96,Mathematics,2,2 to 5 hours,0,no,yes,no,no,yes,yes,yes,no,2,3,5,1,4,3,12,87.1,11,12,11
STU-2D3C97A6,Mathematics,4,>10 hours,0,no,no,no,yes,yes,yes,yes,no,4,2,2,1,1,2,4,95.7,19,19,20
STU-B20B9336,Mathematics,2,2 to 5 hours,0,no,yes,yes,no,yes,yes,no,no,4,3,3,2,2,5,2,97.85,15,15,14
STU-22671154,Mathematics,2,2 to 5 hours,1,yes,yes,no,yes,no,yes,yes,no,4,4,4,1,1,3,2,97.85,7,7,7
STU-87E1D54F,Mathematics,2,2 to 5 hours,0,no,yes,yes,no,yes,yes,yes,no,4,3,3,2,3,4,2,97.85,12,13,13
STU-69114641,Mathematics,2,2 to 5 hours,0,no,yes,yes,no,yes,yes,yes,no,4,3,3,1,1,5,2,97.85,11,13,13
STU-A50F99FB,Mathematics,1,<2 hours,1,no,no,no,no,yes,yes,no,no,5,5,5,3,4,5,6,93.55,11,11,10
STU-3D23468A,Mathematics,1,<2 hours,0,yes,yes,yes,no,yes,yes,yes,no,3,3,4,2,3,5,0,100.0,8,10,11
STU-B3E524BB,Mathematics,1,<2 hours,0,no,no,yes,no,yes,yes,yes,no,5,3,4,4,4,1,6,93.55,10,13,13
STU-E43870D1,Mathematics,2,2 to 5 hours,0,no,no,yes,yes,yes,yes,yes,yes,5,3,4,1,1,2,8,91.4,8,9,10
STU-F25C7CF0,Mathematics,2,2 to 5 hours,0,no,yes,yes,yes,yes,yes,yes,no,4,3,2,1,1,1,0,100.0,14,15,15
STU-300C102A,Mathematics,2,2 to 5 hours,0,no,yes,no,yes,yes,yes,no,no,3,2,2,1,1,5,4,95.7,14,15,15
STU-A8678075,Mathematics,2,2 to 5 hours,0,yes,yes,no,yes,yes,yes,yes,no,4,3,2,1,1,5,2,97.85,9,10,9
STU-401BD1B7,Mathematics,2,2 to 5 hours,0,no,yes,no,no,yes,yes,yes,no,4,2,3,1,1,5,2,97.85,15,16,16
STU-0192628A,Mathematics,2,2 to 5 hours,0,no,yes,no,yes,yes,yes,no,no,2,4,4,2,3,4,6,93.55,10,11,11
STU-0BA134A2,Mathematics,1,<2 hours,0,yes,yes,no,yes,no,yes,yes,yes,5,5,5,5,5,5,6,93.55,10,8,11
STU-687206FE,Mathematics,2,2 to 5 hours,0,yes,no,no,yes,yes,yes,yes,no,4,4,3,1,1,1,4,95.7,8,10,9
STU-FF9874A2,Mathematics,3,5 to 10 hours,0,yes,yes,yes,yes,yes,yes,yes,no,3,4,4,2,4,4,2,97.85,10,9,9
STU-5F6AA41F,Mathematics,2,2 to 5 hours,0,yes,no,no,yes,yes,yes,yes,yes,4,4,4,2,4,2,0,100.0,10,10,10
STU-A0C55580,Mathematics,2,2 to 5 hours,0,no,yes,no,yes,yes,yes,yes,no,5,4,3,1,2,1,2,97.85,16,15,15
STU-30133F89,Mathematics,4,>10 hours,0,no,yes,no,yes,no,yes,yes,yes,1,3,3,5,5,3,4,95.7,13,13,12
STU-0D15B186,Mathematics,4,>10 hours,0,yes,yes,yes,no,yes,yes,yes,no,4,3,3,1,2,5,4,95.7,7,7,6
STU-C2DED612,Mathematics,2,2 to 5 hours,0,yes,yes,yes,no,yes,yes,yes,no,4,1,3,1,3,4,2,97.85,8,9,8
STU-5937C88F,Mathematics,4,>10 hours,0,no,yes,no,no,no,yes,yes,no,4,4,2,2,3,3,12,87.1,16,16,16
STU-D87B8E95,Mathematics,4,>10 hours,0,no,yes,yes,no,yes,yes,yes,no,4,3,2,1,1,5,0,100.0,13,15,15
STU-E74C1FCA,Mathematics,4,>10 hours,0,no,no,no,no,yes,yes,yes,no,3,3,3,1,1,3,0,100.0,10,10,10
STU-F0400DDC,Mathematics,2,2 to 5 hours,2,yes,yes,no,no,no,yes,yes,yes,3,3,4,2,4,5,2,97.85,8,6,5
STU-5BDD2FB3,Mathematics,1,<2 hours,0,no,no,no,yes,yes,yes,no,no,5,3,2,2,2,5,2,97.85,12,12,14
STU-E0D89C36,Mathematics,2,2 to 5 hours,0,yes,yes,yes,yes,yes,yes,yes,no,4,3,3,2,4,5,54,41.94,11,12,11
STU-98ED6E9D,Mathematics,2,2 to 5 hours,0,no,yes,yes,yes,yes,yes,yes,no,4,3,3,2,3,5,6,93.55,9,9,10
STU-6681E7A7,Mathematics,4,>10 hours,0,no,no,no,yes,yes,yes,yes,no,3,4,3,1,1,1,8,91.4,11,11,10
STU-0A3D4FF8,Mathematics,4,>10 hours,0,no,no,yes,no,yes,yes,yes,yes,5,2,3,1,3,3,0,100.0,11,11,11
STU-69668EB0,Mathematics,1,<2 hours,3,yes,yes,no,yes,yes,no,yes,no,4,5,1,1,1,3,2,97.85,8,8,10
STU-DBD7451A,Mathematics,2,2 to 5 hours,0,no,yes,no,no,yes,yes,yes,no,2,4,3,1,2,3,12,87.1,5,5,5
STU-C265FABC,Mathematics,1,<2 hours,0,yes,yes,yes,yes,no,yes,yes,yes,3,2,2,1,3,3,2,97.85,10,12,12
STU-63A420DB,Mathematics,3,5 to 10 hours,0,yes,no,yes,no,no,yes,yes,no,5,3,2,1,2,5,4,95.7,11,10,11
STU-FEFC7BE8,Mathematics,2,2 to 5 hours,0,no,yes,yes,no,yes,yes,yes,no,4,4,4,1,1,5,10,89.25,7,6,6
STU-A0D4610E,Mathematics,2,2 to 5 hours,0,no,no,yes,yes,yes,yes,yes,no,5,3,3,1,3,4,4,95.7,15,15,15
STU-18A00DB2,Mathematics,2,2 to 5 hours,0,no,yes,no,yes,no,yes,yes,no,4,3,2,2,3,4,2,97.85,9,10,10
STU-85EF4016,Mathematics,2,2 to 5 hours,2,no,no,yes,no,yes,yes,yes,yes,4,4,4,2,3,5,6,93.55,7,9,8
STU-06CAEA8E,Mathematics,2,2 to 5 hours,0,no,yes,no,no,yes,yes,no,no,4,3,4,1,2,2,4,95.7,8,7,6
STU-610CC2D9,Mathematics,3,5 to 10 hours,0,no,yes,no,yes,yes,yes,yes,no,5,3,3,1,3,1,4,95.7,13,14,14
STU-9BB406DC,Mathematics,2,2 to 5 hours,1,no,no,yes,yes,no,yes,yes,no,4,4,2,1,1,3,12,87.1,11,10,10
STU-794660FB,Mathematics,2,2 to 5 hours,0,no,yes,no,no,yes,yes,no,no,4,1,3,3,5,5,18,80.65,8,6,7
STU-9DF9B249,Mathematics,3,5 to 10 hours,0,no,yes,yes,no,yes,yes,yes,yes,4,3,3,1,3,4,0,100.0,7,7,8
STU-A6E6FD26,Mathematics,1,<2 hours,0,no,no,yes,yes,yes,yes,yes,no,4,5,5,1,3,1,4,95.7,16,17,18
STU-EEF94D78,Mathematics,2,2 to 5 hours,0,yes,yes,no,no,yes,yes,no,no,3,3,3,2,3,2,4,95.7,7,6,6
