student_id,school,sex,age,address,famsize,pstatus,parent_education,mjob,fjob,subject,studytime,study_time_category,failures,absences,attendance_rate,g1,g2,g3,average_grade,final_grade,pass_fail,performance_category,grade_improvement,risk_status
STU-7081F9F9,GP,F,18,U,GT3,A,Higher Education,at_home,teacher,Mathematics,2,2 to 5 hours,0,6,93.55,5,6,6,5.67,6,Fail,At-Risk,1,Medium Risk
STU-456C1019,GP,F,17,U,GT3,T,Primary (4th grade),at_home,other,Mathematics,2,2 to 5 hours,0,4,95.7,5,5,6,5.33,6,Fail,At-Risk,1,Medium Risk
STU-2E1D48C5,GP,F,15,U,LE3,T,Primary (4th grade),at_home,other,Mathematics,2,2 to 5 hours,3,10,89.25,7,8,10,8.33,10,Pass,Satisfactory,3,Medium Risk
STU-7B84202E,GP,F,15,U,GT3,T,Higher Education,health,services,Mathematics,3,5 to 10 hours,0,2,97.85,15,14,15,14.67,15,Pass,Good,0,Low Risk
STU-8F44186E,GP,F,16,U,GT3,T,Secondary Education,other,other,Mathematics,2,2 to 5 hours,0,4,95.7,6,10,10,8.67,10,Pass,Satisfactory,4,Low Risk
STU-E3F7485F,GP,M,16,U,LE3,T,Higher Education,services,other,Mathematics,2,2 to 5 hours,0,10,89.25,15,15,15,15.0,15,Pass,Good,0,Low Risk
STU-48BF80C7,GP,M,16,U,LE3,T,5th to 9th grade,other,other,Mathematics,2,2 to 5 hours,0,0,100.0,12,12,11,11.67,11,Pass,Satisfactory,-1,Low Risk
STU-0D817C3D,GP,F,17,U,GT3,A,Higher Education,other,teacher,Mathematics,2,2 to 5 hours,0,6,93.55,6,5,6,5.67,6,Fail,At-Risk,0,Medium Risk
STU-22A4FBE2,GP,M,15,U,LE3,A,Secondary Education,services,other,Mathematics,2,2 to 5 hours,0,0,100.0,16,18,19,17.67,19,Pass,Distinction,3,Low Risk
STU-15652EDE,GP,M,15,U,GT3,T,Higher Education,other,other,Mathematics,2,2 to 5 hours,0,0,100.0,14,15,15,14.67,15,Pass,Good,1,Low Risk
STU-39585AE6,GP,F,15,U,GT3,T,Higher Education,teacher,health,Mathematics,2,2 to 5 hours,0,0,100.0,10,8,9,9.0,9,Fail,At-Risk,-1,Medium Risk
STU-1F46ED13,GP,F,15,U,GT3,T,5th to 9th grade,services,other,Mathematics,3,5 to 10 hours,0,4,95.7,10,12,12,11.33,12,Pass,Satisfactory,2,Low Risk
STU-73E7FA9E,GP,M,15,U,LE3,T,Higher Education,health,services,Mathematics,1,<2 hours,0,2,97.85,14,14,14,14.0,14,Pass,Good,0,Low Risk
STU-5202D937,GP,M,15,U,GT3,T,Higher Education,teacher,other,Mathematics,2,2 to 5 hours,0,2,97.85,10,10,11,10.33,11,Pass,Satisfactory,1,Low Risk
STU-68C122A3,GP,M,15,U,GT3,A,5th to 9th grade,other,other,Mathematics,3,5 to 10 hours,0,0,100.0,14,16,16,15.33,16,Pass,Distinction,2,Low Risk
STU-F0AAADE2,GP,F,16,U,GT3,T,Higher Education,health,other,Mathematics,1,<2 hours,0,4,95.7,14,14,14,14.0,14,Pass,Good,0,Low Risk
STU-F25656AE,GP,F,16,U,GT3,T,Higher Education,services,services,Mathematics,3,5 to 10 hours,0,6,93.55,13,14,14,13.67,14,Pass,Good,1,Low Risk
STU-9EA47A4E,GP,F,16,U,GT3,T,Secondary Education,other,other,Mathematics,2,2 to 5 hours,0,4,95.7,8,10,10,9.33,10,Pass,Satisfactory,2,Low Risk
STU-503B3244,GP,M,17,U,GT3,T,Secondary Education,services,services,Mathematics,1,<2 hours,3,16,82.8,6,5,5,5.33,5,Fail,At-Risk,-1,High Risk
STU-419D39B0,GP,M,16,U,LE3,T,Higher Education,health,other,Mathematics,1,<2 hours,0,4,95.7,8,10,10,9.33,10,Pass,Satisfactory,2,Low Risk
STU-114E9CD1,GP,M,15,U,GT3,T,Higher Education,teacher,other,Mathematics,2,2 to 5 hours,0,0,100.0,13,14,15,14.0,15,Pass,Good,2,Low Risk
STU-9D0FB92A,GP,M,15,U,GT3,T,Higher Education,health,health,Mathematics,1,<2 hours,0,0,100.0,12,15,15,14.0,15,Pass,Good,3,Low Risk
STU-C936C263,GP,M,16,U,LE3,T,Higher Education,teacher,other,Mathematics,2,2 to 5 hours,0,2,97.85,15,15,16,15.33,16,Pass,Distinction,1,Low Risk
STU-AB078B4C,GP,M,16,U,LE3,T,5th to 9th grade,other,other,Mathematics,2,2 to 5 hours,0,0,100.0,13,13,12,12.67,12,Pass,Satisfactory,-1,Low Risk
STU-5DC4E551,GP,F,15,R,GT3,T,Higher Education,services,health,Mathematics,3,5 to 10 hours,0,2,97.85,10,9,8,9.0,8,Fail,At-Risk,-2,Medium Risk
STU-719CD4A4,GP,F,16,U,GT3,T,5th to 9th grade,services,services,Mathematics,1,<2 hours,2,14,84.95,6,9,8,7.67,8,Fail,At-Risk,2,High Risk
STU-6D322426,GP,M,15,U,GT3,T,5th to 9th grade,other,other,Mathematics,1,<2 hours,0,2,97.85,12,12,11,11.67,11,Pass,Satisfactory,-1,Low Risk
STU-4595E9E2,GP,M,15,U,GT3,T,Higher Education,health,services,Mathematics,1,<2 hours,0,4,95.7,15,16,15,15.33,15,Pass,Good,0,Low Risk
STU-09EA8E11,GP,M,16,U,LE3,A,Higher Education,services,other,Mathematics,2,2 to 5 hours,0,4,95.7,11,11,11,11.0,11,Pass,Satisfactory,0,Low Risk
STU-D1F6A181,GP,M,16,U,GT3,T,Higher Education,teacher,teacher,Mathematics,2,2 to 5 hours,0,16,82.8,10,12,11,11.0,11,Pass,Satisfactory,1,Medium Risk
