student_id,school,sex,age,address,famsize,pstatus,medu,fedu,mjob,fjob,reason,guardian,parent_education
STU-7081F9F9,GP,F,18,U,GT3,A,4,4,at_home,teacher,course,mother,Higher Education
STU-456C1019,GP,F,17,U,GT3,T,1,1,at_home,other,course,father,Primary (4th grade)
STU-2E1D48C5,GP,F,15,U,LE3,T,1,1,at_home,other,other,mother,Primary (4th grade)
STU-7B84202E,GP,F,15,U,GT3,T,4,2,health,services,home,mother,Higher Education
STU-8F44186E,GP,F,16,U,GT3,T,3,3,other,other,home,father,Secondary Education
STU-E3F7485F,GP,M,16,U,LE3,T,4,3,services,other,reputation,mother,Higher Education
STU-48BF80C7,GP,M,16,U,LE3,T,2,2,other,other,home,mother,5th to 9th grade
STU-0D817C3D,GP,F,17,U,GT3,A,4,4,other,teacher,home,mother,Higher Education
STU-22A4FBE2,GP,M,15,U,LE3,A,3,2,services,other,home,mother,Secondary Education
STU-15652EDE,GP,M,15,U,GT3,T,3,4,other,other,home,mother,Higher Education
STU-39585AE6,GP,F,15,U,GT3,T,4,4,teacher,health,reputation,mother,Higher Education
STU-1F46ED13,GP,F,15,U,GT3,T,2,1,services,other,reputation,father,5th to 9th grade
STU-73E7FA9E,GP,M,15,U,LE3,T,4,4,health,services,course,father,Higher Education
STU-5202D937,GP,M,15,U,GT3,T,4,3,teacher,other,course,mother,Higher Education
STU-68C122A3,GP,M,15,U,GT3,A,2,2,other,other,home,other,5th to 9th grade
STU-F0AAADE2,GP,F,16,U,GT3,T,4,4,health,other,home,mother,Higher Education
STU-F25656AE,GP,F,16,U,GT3,T,4,4,services,services,reputation,mother,Higher Education
STU-9EA47A4E,GP,F,16,U,GT3,T,3,3,other,other,reputation,mother,Secondary Education
STU-503B3244,GP,M,17,U,GT3,T,3,2,services,services,course,mother,Secondary Education
STU-419D39B0,GP,M,16,U,LE3,T,4,3,health,other,home,father,Higher Education
STU-114E9CD1,GP,M,15,U,GT3,T,4,3,teacher,other,reputation,mother,Higher Education
STU-9D0FB92A,GP,M,15,U,GT3,T,4,4,health,health,other,father,Higher Education
STU-C936C263,GP,M,16,U,LE3,T,4,2,teacher,other,course,mother,Higher Education
STU-AB078B4C,GP,M,16,U,LE3,T,2,2,other,other,reputation,mother,5th to 9th grade
STU-5DC4E551,GP,F,15,R,GT3,T,2,4,services,health,course,mother,Higher Education
STU-719CD4A4,GP,F,16,U,GT3,T,2,2,services,services,home,mother,5th to 9th grade
STU-6D322426,GP,M,15,U,GT3,T,2,2,other,other,home,mother,5th to 9th grade
STU-4595E9E2,GP,M,15,U,GT3,T,4,2,health,services,other,mother,Higher Education
STU-09EA8E11,GP,M,16,U,LE3,A,3,4,services,other,home,mother,Higher Education
STU-D1F6A181,GP,M,16,U,GT3,T,4,4,teacher,teacher,home,mother,Higher Education
STU-007A4610,GP,M,15,U,GT3,T,4,4,health,services,home,mother,Higher Education
STU-B6B62C92,GP,M,15,U,GT3,T,4,4,services,services,reputation,mother,Higher Education
STU-168BC7D4,GP,M,15,R,GT3,T,4,3,teacher,at_home,course,mother,Higher Education
STU-232FC95D,GP,M,15,U,LE3,T,3,3,other,other,course,mother,Secondary Education
STU-0F7F1639,GP,M,16,U,GT3,T,3,2,other,other,home,mother,Secondary Education
STU-346D1ED8,GP,F,15,U,GT3,T,2,3,other,other,other,father,Secondary Education
STU-54B1B380,GP,M,15,U,LE3,T,4,3,teacher,services,home,mother,Higher Education
STU-6FAAC800,GP,M,16,R,GT3,A,4,4,other,teacher,reputation,mother,Higher Education
