school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3,subject,student_id,rejection_reason,rejected_at
GP,M,17,U,GT3,T,2,1,other,other,home,mother,1,1,3,no,yes,no,no,yes,yes,yes,no,5,4,5,1,2,5,0,5,0,0,Mathematics,STU-69668EB0,Duplicate student record for subject 'Mathematics',2026-09-11T16:31:16.240738+00:00
GP,M,16,U,GT3,T,4,4,teacher,teacher,course,mother,1,1,0,no,yes,no,no,yes,no,yes,yes,3,3,2,2,1,5,0,7,6,0,Mathematics,STU-11690B74,Duplicate student record for subject 'Mathematics',2026-09-11T16:31:16.240738+00:00
GP,M,16,U,GT3,T,3,3,services,other,home,mother,1,2,0,no,no,yes,yes,yes,yes,yes,yes,4,2,3,1,2,3,2,12,13,12,Mathematics,STU-89274968,Duplicate student record for subject 'Mathematics',2026-09-11T16:31:16.240738+00:00
GP,M,18,U,GT3,T,4,4,teacher,services,home,father,1,2,1,no,yes,no,yes,yes,yes,yes,no,4,3,3,2,2,2,0,10,10,0,Mathematics,STU-C1BB86AE,Duplicate student record for subject 'Mathematics',2026-09-11T16:31:16.240738+00:00
GP,M,17,U,GT3,T,2,1,other,other,home,mother,1,1,0,no,yes,no,no,yes,yes,yes,no,5,4,5,1,2,5,22,9,7,6,Portuguese,STU-69668EB0,Duplicate student record for subject 'Portuguese',2026-09-11T16:31:16.322006+00:00
GP,M,16,U,GT3,T,4,4,teacher,teacher,course,mother,1,1,0,no,yes,no,no,yes,no,yes,yes,3,3,2,2,1,5,16,9,9,8,Portuguese,STU-11690B74,Duplicate student record for subject 'Portuguese',2026-09-11T16:31:16.322006+00:00
GP,M,16,U,GT3,T,3,3,services,other,home,mother,1,2,0,no,no,no,yes,yes,yes,yes,yes,4,2,3,1,2,3,0,11,12,13,Portuguese,STU-89274968,Duplicate student record for subject 'Portuguese',2026-09-11T16:31:16.322006+00:00
GP,M,16,U,GT3,T,4,4,services,services,course,mother,1,1,0,no,no,yes,yes,yes,yes,yes,no,5,3,2,1,2,5,4,14,15,15,Portuguese,STU-A88F7DD8,Duplicate student record for subject 'Portuguese',2026-09-11T16:31:16.322006+00:00
GP,F,18,U,GT3,T,1,1,other,other,home,mother,2,3,0,no,no,no,yes,yes,yes,yes,no,4,5,5,1,2,2,0,14,14,14,Portuguese,STU-E99A0A05,Duplicate student record for subject 'Portuguese',2026-09-11T16:31:16.322006+00:00
GP,F,17,U,GT3,T,4,4,teacher,services,course,mother,1,3,0,no,yes,no,yes,yes,yes,yes,no,5,4,4,1,3,4,0,13,12,13,Portuguese,STU-8ADF8E42,Duplicate student record for subject 'Portuguese',2026-09-11T16:31:16.322006+00:00
GP,M,18,U,GT3,T,4,4,teacher,services,home,father,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,3,2,2,2,0,12,12,13,Portuguese,STU-C1BB86AE,Duplicate student record for subject 'Portuguese',2026-09-11T16:31:16.322006+00:00
MS,M,15,R,LE3,T,4,1,health,services,reputation,father,1,2,0,no,yes,no,yes,yes,yes,yes,no,5,3,4,1,2,2,7,7,9,8,Portuguese,STU-AC17C12B,Duplicate student record for subject 'Portuguese',2026-09-11T16:31:16.322006+00:00
MS,F,16,R,GT3,T,2,2,other,other,course,mother,3,2,0,no,yes,no,no,yes,yes,yes,no,4,4,5,1,1,4,4,9,10,11,Portuguese,STU-B9F6153F,Duplicate student record for subject 'Portuguese',2026-09-11T16:31:16.322006+00:00
MS,F,16,U,GT3,T,1,2,other,services,course,mother,1,3,1,no,yes,no,no,yes,yes,no,no,1,3,2,1,2,4,3,9,8,8,Portuguese,STU-CDFC84CC,Duplicate student record for subject 'Portuguese',2026-09-11T16:31:16.322006+00:00
MS,F,16,R,GT3,T,2,2,other,other,course,father,3,2,0,no,yes,no,no,yes,no,yes,no,3,4,5,1,2,1,1,9,10,11,Portuguese,STU-B9F6153F,Duplicate student record for subject 'Portuguese',2026-09-11T16:31:16.322006+00:00
MS,F,18,U,GT3,T,1,1,other,other,course,mother,2,2,0,no,no,no,yes,yes,yes,no,no,1,1,1,1,1,5,6,11,12,9,Portuguese,STU-68A811B9,Duplicate student record for subject 'Portuguese',2026-09-11T16:31:16.322006+00:00
